ext_id,Latitude,Longitude,label,label_category,lat_grid,lon_grid
14354,-37.80168000012682,144.97096299956016,0.293,Low,-37.802,144.971
16479,-37.806659000331045,144.97111499969273,0.978,Low,-37.807,144.971
15169,-37.80109000004725,144.9702759997199,1.662,Low,-37.801,144.97
15186,-37.80109000004725,144.9702759997199,1.564,Low,-37.801,144.97
14102,-37.80222700005523,144.9717200003247,4.399,Low,-37.802,144.972
14107,-37.80221700015845,144.97170700022463,6.647,Low,-37.802,144.972
14130,-37.80216799968193,144.97164700046932,0.098,Low,-37.802,144.972
14131,-37.8021659996523,144.97164399998422,0.098,Low,-37.802,144.972
12738,-37.80153000035656,144.97381700039912,0.293,Low,-37.802,144.974
13656,-37.80301700013269,144.97308499998852,1.271,Low,-37.803,144.973
13853,-37.80268900003908,144.9724530004937,0.293,Low,-37.803,144.972
15850,-37.8014680001005,144.97030600015287,0.782,Low,-37.801,144.97
17054,-37.80594399973125,144.97142499982272,0.196,Low,-37.806,144.971
17062,-37.80595999963809,144.97142000051787,0.196,Low,-37.806,144.971
17092,-37.80602100036928,144.97141999971765,0.489,Low,-37.806,144.971
20259,-37.80527500026383,144.96968300010911,0.489,Low,-37.805,144.97
19987,-37.805403999983966,144.97089799989814,7.625,Low,-37.805,144.971
18173,-37.80575600032007,144.9709660002828,0.684,Low,-37.806,144.971
18175,-37.80575099965042,144.97097400042824,0.684,Low,-37.806,144.971
20453,-37.80567500026878,144.9696040001413,3.226,Low,-37.806,144.97
18123,-37.80587699962101,144.97080000027637,1.466,Low,-37.806,144.971
18140,-37.80583899993202,144.97085200015408,14.761,Medium,-37.806,144.971
18143,-37.80583300018815,144.97086300010352,13.196,Medium,-37.806,144.971
18644,-37.80579899988916,144.97163999957624,4.399,Low,-37.806,144.972
18650,-37.80581399992376,144.97164799988025,4.692,Low,-37.806,144.972
18668,-37.80584699971098,144.9716699995981,2.737,Low,-37.806,144.972
18371,-37.8052810002721,144.97124499945977,1.369,Low,-37.805,144.971
18311,-37.80543199956529,144.97111499957452,1.075,Low,-37.805,144.971
17946,-37.8063009998944,144.970210999589,2.542,Low,-37.806,144.97
17948,-37.80629599984122,144.97021600011055,3.03,Low,-37.806,144.97
19039,-37.80679499961489,144.9724350002947,1.466,Low,-37.807,144.972
19572,-37.80559199981648,144.97262599998956,0.587,Low,-37.806,144.973
19203,-37.80714500013346,144.97269200042004,0.196,Low,-37.807,144.973
19222,-37.80718800029212,144.9727160002886,0.196,Low,-37.807,144.973
19093,-37.80692300017756,144.9725190005554,0.098,Low,-37.807,144.973
17992,-37.806190000371934,144.9703720004293,0.489,Low,-37.806,144.97
19247,-37.80725299972514,144.97276599993478,0.684,Low,-37.807,144.973
20157,-37.80530699965546,144.97009300000025,2.053,Low,-37.805,144.97
18716,-37.80593599991339,144.97174799980965,2.346,Low,-37.806,144.972
18755,-37.80603200001701,144.97182200027274,0.293,Low,-37.806,144.972
20528,-37.80585700035371,144.96955900024375,0.489,Low,-37.806,144.97
